,title,link
7,용인 청년 LAB 2024년 5월 희망케어 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4451&pager.offset=88&pagerLimit=8
0,용인 청년 LAB 2024년 5월 프로그램 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4450&pager.offset=96&pagerLimit=8
1,[과천시 비행지구 4월 프로그램 : <네트워킹 파티> 모과청 '동행'] ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4449&pager.offset=96&pagerLimit=8
2,[4월] 밸런스요가 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4448&pager.offset=96&pagerLimit=8
3,[4월] 웨이트 필라테스 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4447&pager.offset=96&pagerLimit=8
4,[4월] 온라인 취업컨설팅-비대면 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4446&pager.offset=96&pagerLimit=8
5,2024 면접정장 대여지원 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4445&pager.offset=96&pagerLimit=8
6,2024년 2단계 대학생(주말)일자리 사업 참여자 모집공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4444&pager.offset=96&pagerLimit=8
7,"2024 서울청년정책박람회 “청년, 바라봄” ",https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4443&pager.offset=96&pagerLimit=8
0,[화성시청년지원센터] 미술집단상담 프로그램 참여자 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4442&pager.offset=104&pagerLimit=8
1,[양주시청년센터 창업특강] 맟춤 세무 솔루션 : 창업자를 위한 세금과 법률  ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4441&pager.offset=104&pagerLimit=8
2,보건복지부・경기사회서비스원 사회서비스 공급주체 다변화 공모선정 사업 <월간살롱 (4월 : 드로잉)> 참여 청년 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4440&pager.offset=104&pagerLimit=8
3,"[경기청년공간 내일스퀘어 양평] 2024 양평 청년 든,든,해 vol.01 몸 든든 헬스 케어 프로그램 ",https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4439&pager.offset=104&pagerLimit=8
4,2024년 안산시 청년 창업 역량 강화 교육생 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4438&pager.offset=104&pagerLimit=8
5,2024년 평택시 미래기술학교 반도체 제조기술 전문인력 과정 (1차) ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4437&pager.offset=104&pagerLimit=8
6,원데이클래스-백드롭 페인팅 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4436&pager.offset=104&pagerLimit=8
7,연천군 청년정책위원회 위원 모집 재공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4435&pager.offset=104&pagerLimit=8
0,[연천군청년센터] MBTI분석 및 1:1 상담 참여자 모집!! ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4434&pager.offset=112&pagerLimit=8
1,포천시 청년 로컬창업학교 수강생 모집 안내 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4433&pager.offset=112&pagerLimit=8
2,2024년 청년마음건강지원사업 이용자 모집 안내 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4432&pager.offset=112&pagerLimit=8
3,2024년 청년월세 한시 특별지원사업(2차) 보조 기간제근로자 모집 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4431&pager.offset=112&pagerLimit=8
4,2024년 말산업 청년인턴 취업지원사업 청년인턴 모집 공고(3차) ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4430&pager.offset=112&pagerLimit=8
5,<2024년 청년취업끝까지 지원센터 「(4월)취업 시즌대비특강-영업.마케팅 직무대비 특강」 교육 참여자 모집> ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4429&pager.offset=112&pagerLimit=8
6,안성시시설관리공단 2024년도 제1회 청년 체험형 인턴 채용 계획 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4428&pager.offset=112&pagerLimit=8
7,안성시청년문화공간 '청년톡톡' 5월 프로그램 신청안내 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4427&pager.offset=112&pagerLimit=8
0,2024년 이천청년 리빙랩 프로젝트 공모사업 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4426&pager.offset=120&pagerLimit=8
1,청년 창업 자조활동 라운드 프로젝트 “알파청년 5기” 모집 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4425&pager.offset=120&pagerLimit=8
2,보건복지부・경기사회서비스원 사회서비스 공급주체 다변화 공모선정 사업 <월간살롱 (4월 : 요가)> 참여 청년 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4424&pager.offset=120&pagerLimit=8
3,[경기도일자리재단] 2024년 커리어 부트캠프 온라인 현직자 멘토링 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4423&pager.offset=120&pagerLimit=8
4,이천시 청년특별보좌관 공개모집 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4422&pager.offset=120&pagerLimit=8
5,2024 용인시 사회적경제 SNS 기자단 “용인시(SE) 청년 톡파원” 추가모집 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4421&pager.offset=120&pagerLimit=8
6,「의왕청년든든 신용회복지원사업」 대상자 모집 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4420&pager.offset=120&pagerLimit=8
7,의왕청년발전소 청년창업지원공간 입주자 모집 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4419&pager.offset=120&pagerLimit=8
0,「청년 면접 집중캠프」 참여자 모집 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4418&pager.offset=128&pagerLimit=8
1,2024년 2차 청년마음건강지원사업 이용자 모집 안내 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4417&pager.offset=128&pagerLimit=8
